iter	Passed	Remaining
0	55	5523
1	56	2748
2	56	1823
3	56	1358
4	56	1082
5	57	896
6	57	764
7	57	665
8	58	587
9	58	525
10	58	474
11	58	432
12	59	396
13	59	365
14	59	338
15	60	315
16	60	294
17	60	275
18	60	259
19	61	244
20	61	231
21	61	218
22	61	207
23	62	197
24	62	187
25	62	178
26	63	170
27	63	162
28	63	155
29	63	149
30	64	142
31	64	136
32	64	131
33	64	126
34	65	121
35	65	116
36	65	111
37	65	107
38	66	103
39	66	99
40	66	96
41	66	92
42	67	88
43	67	85
44	67	82
45	67	79
46	68	76
47	68	74
48	68	71
49	68	68
50	69	66
51	69	64
52	69	61
53	69	59
54	70	57
55	70	55
56	70	53
57	70	51
58	71	49
59	71	47
60	71	45
61	71	44
62	72	42
63	72	40
64	72	39
65	72	37
66	73	35
67	73	34
68	73	33
69	73	31
70	73	30
71	74	28
72	74	27
73	74	26
74	74	24
75	75	23
76	75	22
77	75	21
78	75	20
79	76	19
80	76	17
81	76	16
82	76	15
83	77	14
84	77	13
85	77	12
86	77	11
87	78	10
88	78	9
89	78	8
90	78	7
91	79	6
92	79	5
93	79	5
94	79	4
95	80	3
96	80	2
97	80	1
98	80	0
99	81	0
